Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-seltene-erkrankungen-v2026-de.json	70293	-	0	0	0	0	0	0	23	95	0	0	0	0	0	0	0	2	0	0	36	357	1242	0	0	0	12	0	8
fsh-generated/resources/Bundle-bundle-marfan-complete.json	50438	25	58	0	2	0	0	0	4	1223	0	0	0	0	0	0	0	1	0	0	25	126	653	0	0	1	0	0	1
fsh-generated/resources/Bundle-bundle-sma-complete.json	41331	15	12	0	0	0	0	0	3	153	0	0	0	0	0	0	0	0	0	0	13	96	404	0	0	0	0	0	1
fsh-generated/resources/CapabilityStatement-mii-cps-seltene-capabilitystatement.json	59130	12	0	0	0	0	0	0	5	62	0	0	0	0	0	0	0	0	0	0	15	162	208	0	1	0	6	0	1
fsh-generated/resources/CarePlan-mii-exa-seltene-therapieplan.json	774	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	13	10	36	0	0	0	0	0	0
fsh-generated/resources/ClinicalImpression-clinical-impression-erstvorstellung.json	2203	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	16	47	0	0	0	0	0	0
fsh-generated/resources/ClinicalImpression-clinical-impression-nachsorge.json	2796	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	18	33	0	0	0	0	0	0
fsh-generated/resources/ClinicalImpression-clinical-impression-seltene-assessment.json	3926	2	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	11	28	68	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-seltene-empfehlung-status-begruendung.json	646	2	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	10	9	118	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-seltene-hpo-change-status.json	1474	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	12	96	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-seltene-narse-therapietyp.json	2511	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	18	89	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-seltene-therapieempfehlung-strategie.json	2323	2	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	10	16	73	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-seltene-therapieempfehlung-typ.json	1134	1	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	11	66	0	0	0	1	0	0
fsh-generated/resources/Condition-condition-cataract.json	2118	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	14	29	0	0	0	0	0	1
fsh-generated/resources/Condition-condition-marfan-clinical.json	3975	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	10	16	43	0	0	0	0	0	0
fsh-generated/resources/Condition-condition-marfan-genetic.json	2067	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	11	12	23	0	0	0	0	0	0
fsh-generated/resources/Condition-condition-marfan-suspected.json	1644	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	13	17	0	0	0	0	0	0
fsh-generated/resources/Condition-condition-pku-diagnosis.json	1925	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	12	21	0	0	0	0	0	0
fsh-generated/resources/Condition-condition-sma-clinical.json	2223	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	10	13	33	0	0	0	0	0	0
fsh-generated/resources/Condition-condition-sma-genetic.json	2530	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	10	14	39	0	0	0	0	0	0
fsh-generated/resources/Condition-condition-sma-suspected.json	1843	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	11	31	0	0	0	0	0	0
fsh-generated/resources/Condition-example-brca1-genetic-diagnosis.json	2509	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	12	30	0	0	0	0	0	0
fsh-generated/resources/Condition-example-cf-clinical.json	2595	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	12	31	0	0	0	0	0	0
fsh-generated/resources/Condition-example-cf-excluded-after-screening.json	1993	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	11	25	0	0	0	0	0	0
fsh-generated/resources/Condition-example-cf-genetic.json	2322	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	10	12	27	0	0	0	0	0	0
fsh-generated/resources/Condition-example-dmd-excluded-bmd-confirmed.json	2031	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	11	21	0	0	0	0	0	0
fsh-generated/resources/Condition-example-dmd-genetic-diagnosis.json	2458	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	11	28	0	0	0	0	0	0
fsh-generated/resources/Condition-example-eds-excluded-clinical.json	1853	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	60	11	19	0	0	0	0	0	0
