property	pre	post	verdict
identity.id	mii-ig-seltene-erkrankungen-v2026-de	mii-ig-seltene-erkrankungen-v2026-de	unchanged
identity.canonical	https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene	https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene	unchanged
identity.packageId	de.medizininformatikinitiative.kerndatensatz.seltene	de.medizininformatikinitiative.kerndatensatz.seltene	unchanged
identity.name	MIIIGModulSelteneErkrankungen	MIIIGModulSelteneErkrankungen	unchanged
identity.version	2026.0.1	2027.0.0-ballot	REGRESSION
identity.fhirVersion	4.0.1	4.0.1	unchanged
identity.calver	true	true	unchanged
identity.publisher	Medizininformatik Initiative	Medizininformatik Initiative	unchanged
identity.status	active	active	unchanged
identity.title	MII IG Kerndatensatz-Modul Seltene Erkrankungen	MII IG Kerndatensatz-Modul Seltene Erkrankungen	unchanged
licence.contradictory	false	false	unchanged
dependency_health.injection_risk	true	false	improved
narrative_sources.dual_source	true	true	unchanged
mode	static	static	unchanged
artifacts.profiles	19	19	unchanged
artifacts.extensions	11	11	unchanged
artifacts.valuesets	20	20	unchanged
artifacts.codesystems	5	5	unchanged
artifacts.logicals	0	0	unchanged
artifacts.capabilitystatements	1	1	unchanged
artifacts.questionnaires	0	0	unchanged
artifacts.searchparameters	0	0	unchanged
artifacts.operations	0	0	unchanged
artifacts.examples	107	107	unchanged
artifacts.rulesets	16	47	expected-change
artifacts.invariants	1	1	unchanged
artifacts.mappings	12	12	unchanged
artifacts.other_total	0	0	unchanged
artifacts.total	163	163	unchanged
narrative.pages	54	62	expected-change
narrative.intro_note_pages	0	17	expected-change
narrative.translation_pages	0	22	expected-change
directives.total	467	467	unchanged
